round,leader,write_status,write_latency_ms,immediate_stale_reads,replica_count,read_latency_avg_ms,read_latency_min_ms,read_latency_max_ms,convergence_ms,error
1,http://18.233.244.123:8000,200,201.46090000343975,0,3,229.14976666652365,152.9106000016327,300.09740000241436,1066.4582000026712,
2,http://18.233.244.123:8000,200,386.3290000008419,0,3,365.6754999998763,249.53649999952177,465.3461999987485,844.0850999977556,
3,http://18.233.244.123:8000,200,83.01059999939753,0,3,495.48820000200067,335.9576000002562,580.4287000064505,1363.3754999973462,
4,http://18.233.244.123:8000,200,481.31280000234256,0,3,346.7864999984158,237.92520000279183,498.67389999417355,890.6093999976292,
5,http://18.233.244.123:8000,200,433.8142999986303,0,3,457.27560000038164,278.62650000315625,702.5095999997575,746.650100001716,
6,http://18.233.244.123:8000,200,416.5357000019867,0,3,375.11559999984456,328.37129999825265,426.01500000455417,1023.4088999932283,
7,http://18.233.244.123:8000,200,290.2685000008205,0,3,490.74549999689526,362.2999999934109,678.6159999974188,1836.4776000016718,
8,http://18.233.244.123:8000,200,148.122799997509,0,3,249.72526666776199,82.1360000045388,502.21919999603415,328.8152000022819,
9,http://18.233.244.123:8000,200,81.4916999952402,0,3,134.3734000013986,96.45370000362163,175.01790000096662,342.16449999803444,
10,http://18.233.244.123:8000,200,88.0639999959385,0,3,130.28770000043247,83.30859999841778,223.34190000401577,859.3718000047375,
11,http://18.233.244.123:8000,200,424.84739999781596,0,3,340.90186666677863,229.95300000184216,464.3664999966859,1229.758400004357,
12,http://18.233.244.123:8000,200,322.32700000167824,0,3,457.408133331531,316.49069999548374,653.5401000001002,1229.9042000013287,
13,http://18.233.244.123:8000,200,291.0377000007429,0,3,580.3659999995338,342.36740000051213,1013.9443000007304,1373.077000003832,
14,http://18.233.244.123:8000,200,334.79889999580337,0,3,302.2019999989425,119.74179999378975,416.894100002537,1417.432700000063,
15,http://18.233.244.123:8000,200,143.3519999991404,0,3,453.64993333350867,372.86540000059176,592.516999997315,1594.8013000015635,
16,http://18.233.244.123:8000,200,150.70610000111628,0,3,537.855866663449,350.81239999999525,678.0995999943116,928.097500000149,
17,http://18.233.244.123:8000,200,110.80019999644719,0,3,293.3578666658529,115.55769999540644,442.1539000031771,608.0676999990828,
18,http://18.233.244.123:8000,200,89.21939999709139,0,3,114.52723333301644,80.67239999945741,176.18829999992158,340.3470999983256,
19,http://18.233.244.123:8000,200,97.81179999845335,0,3,108.18816666384616,56.62399999710033,190.68249999691034,369.98859999584965,
20,http://18.233.244.123:8000,200,91.72920000128215,0,3,122.55300000106217,77.20759999938309,198.25220000348054,356.89759999513626,
21,http://18.233.244.123:8000,200,98.08889999840176,0,3,123.45666666321146,74.97129999683239,187.26159999641823,346.86130000045523,
22,http://18.233.244.123:8000,200,74.53069999610307,0,3,117.22186666884227,63.572700004442595,186.4553000050364,833.8461000021198,
23,http://18.233.244.123:8000,200,75.2783999996609,0,3,548.627333334783,383.2925000024261,679.3646000005538,1227.22889999568,
24,http://18.233.244.123:8000,200,296.7357000015909,0,3,477.62643333165516,221.3361999965855,750.2247000011266,852.7962000007392,
25,http://18.233.244.123:8000,200,363.8774999999441,0,3,566.9404333336084,346.6712000008556,968.6942999978783,913.7983000036911,
26,http://18.233.244.123:8000,200,352.2277000010945,0,3,326.6254333332957,205.20260000193957,505.0007999961963,1511.4135000039823,
27,http://18.233.244.123:8000,200,694.1471000027377,0,3,413.9534999994794,231.23969999869587,665.2195999995456,1018.5469999996712,
28,http://18.233.244.123:8000,200,270.74220000213245,0,3,336.82993333301664,239.81710000225576,462.0863999953144,1024.1670999967027,
29,http://18.233.244.123:8000,200,662.4186000044574,0,3,494.5828999989317,219.88469999632798,716.7644000001019,1496.0871000002953,
30,http://18.233.244.123:8000,200,312.62689999857685,0,3,367.9796333332585,295.3906000038842,458.0324999988079,1147.5879999998142,
31,http://18.233.244.123:8000,200,231.68160000204807,0,3,410.0355666669202,309.6653000029619,497.8871999992407,1957.104100001743,
32,http://18.233.244.123:8000,200,391.7345000008936,0,3,414.64646666766686,229.49460000381805,640.1043000005302,909.5698999954038,
33,http://18.233.244.123:8000,200,352.704699995229,0,3,334.5999333347815,163.98270000354387,510.8022999993409,1172.9917000047863,
34,http://18.233.244.123:8000,200,218.05599999788683,0,3,642.7967333341561,610.2278000034858,702.9861999981222,1437.4864999990677,
35,http://18.233.244.123:8000,200,379.4564999989234,0,3,412.0374333288055,243.88369999360293,529.8984999972163,1424.780400004238,
36,http://18.233.244.123:8000,200,640.4359000007389,0,3,570.9671666651653,421.83039999508765,716.3241000016569,1478.2641999991029,
37,http://18.233.244.123:8000,200,291.71040000073845,0,3,283.46693333393586,134.96070000110194,378.3765999978641,1385.8064000014565,
38,http://18.233.244.123:8000,200,228.3575000037672,0,3,419.285533336127,289.4975000017439,622.8193000060855,976.7537999941851,
39,http://18.233.244.123:8000,200,435.29010000202106,0,3,408.8029000001067,260.6393999958527,580.9280000030412,677.4836000040523,
40,http://18.233.244.123:8000,200,485.6201000002329,0,3,126.64983333525015,84.4483000037144,198.06830000015907,373.24570000055246,
41,http://18.233.244.123:8000,200,105.85379999974975,0,3,112.73140000169708,69.91840000409866,181.21629999950528,340.86350000143284,
42,http://18.233.244.123:8000,200,107.0292000003974,0,3,209.3203333351994,64.59190000168746,479.5825000037439,713.4399000060512,
43,http://18.233.244.123:8000,200,521.8371000009938,0,3,459.1511333322463,327.83740000013495,594.749399999273,1118.4403000006569,
44,http://18.233.244.123:8000,200,374.1560999987996,0,3,308.9276666675384,107.93770000600489,457.03599999978906,990.201699998579,
45,http://18.233.244.123:8000,200,295.0442000001203,0,3,573.5388333341689,404.6770999993896,679.6319999994012,1433.0019999979413,
46,http://18.233.244.123:8000,200,318.26850000652485,0,3,366.2948000007115,84.6672000043327,530.5200000002515,1344.9112000016612,
47,http://18.233.244.123:8000,200,208.20259999891277,0,3,553.9772666694868,291.9714000017848,702.1211000028416,1659.8483999987366,
48,http://18.233.244.123:8000,200,548.3087000029627,0,3,294.26276666830137,108.96930000308203,431.0075000030338,897.4611000012374,
49,http://18.233.244.123:8000,200,356.08309999952326,0,3,373.16956666957896,324.1087999995216,439.1425000067102,1248.650000001362,
50,http://18.233.244.123:8000,200,381.4646999962861,0,3,765.163700004147,587.5603000022238,1117.437400003837,948.4287000013865,
51,http://18.233.244.123:8000,200,270.97249999496853,0,3,446.34029999967123,358.65519999788376,555.1530000011553,1974.0290000045206,
52,http://18.233.244.123:8000,200,278.504800000519,0,3,441.45146666899865,412.6224000065122,483.3751999976812,857.7176999970106,
53,http://18.233.244.123:8000,200,300.1522999984445,0,3,418.69096666778205,351.49169999931473,552.3820000016713,1331.020500001614,
54,http://18.233.244.123:8000,200,93.03069999441504,0,3,448.0473999986619,305.65809999825433,612.9715999995824,1536.3268000000971,
55,http://18.233.244.123:8000,200,356.4001999984612,0,3,374.40013333737926,167.2145000047749,568.7121000009938,1337.749000005715,
